Actual,Predicted,Proba
0,0,0.36814806
0,1,0.59991735
0,0,0.21470279
0,1,0.61550456
0,1,0.61550456
0,1,0.6009692
0,0,0.35886037
0,0,0.43266815
1,0,0.3594279
0,0,0.3594279
0,1,0.62558985
0,0,0.3594279
1,1,0.6949501
1,0,0.35784054
0,0,0.20408066
0,0,0.20408066
0,1,0.62558985
1,1,0.6565867
0,0,0.20408066
0,0,0.3594279
0,0,0.28298688
0,0,0.28560928
1,1,0.7099699
0,0,0.20408066
1,1,0.6045433
0,0,0.20408066
0,0,0.27617264
1,1,0.6009692
0,0,0.20408066
0,1,0.64020336
0,0,0.35886037
0,0,0.35355526
0,0,0.43266815
0,0,0.21470279
0,1,0.52210873
0,1,0.56616604
0,1,0.62558985
0,1,0.62558985
0,0,0.43266815
1,1,0.62558985
0,0,0.4170576
0,1,0.6666262
0,0,0.27617264
0,0,0.27617264
1,1,0.6465849
0,1,0.6009692
0,0,0.27617264
0,0,0.4170576
0,0,0.49544108
0,1,0.62558985
0,1,0.52692497
0,1,0.52692497
0,0,0.27617264
0,1,0.52692497
0,0,0.27617264
1,0,0.36360452
0,0,0.35784054
0,0,0.20408066
0,0,0.20408066
0,0,0.35784054
1,1,0.62558985
0,0,0.27617264
0,0,0.35590047
0,0,0.35470784
0,1,0.52692497
0,0,0.20408066
0,1,0.61550456
0,0,0.35784054
0,0,0.21139269
0,1,0.60965145
1,1,0.52692497
0,1,0.52692497
0,0,0.21139269
0,0,0.27617264
0,1,0.56616604
0,0,0.35784054
0,1,0.6753857
0,0,0.35784054
1,1,0.6045433
1,1,0.52692497
1,1,0.7099699
0,0,0.35784054
0,0,0.27617264
1,1,0.59991735
1,1,0.6045433
1,0,0.20408066
0,0,0.42793414
1,1,0.52692497
0,1,0.62558985
1,0,0.35784054
0,0,0.42793414
0,0,0.35784054
0,0,0.27617264
1,1,0.6666262
1,1,0.7173957
0,0,0.27617264
0,1,0.62558985
0,0,0.42793414
0,1,0.6585014
1,1,0.6585014
1,1,0.6565867
0,0,0.27617264
0,0,0.27617264
0,0,0.35784054
0,1,0.62359613
0,0,0.20408066
0,1,0.6465849
1,1,0.6782032
0,0,0.35784054
0,0,0.21139269
0,1,0.7099699
0,0,0.27617264
1,1,0.7099699
1,0,0.3594279
0,0,0.27617264
1,1,0.52692497
0,0,0.42793414
1,0,0.3594279
0,0,0.27617264
0,0,0.28611267
1,1,0.52210873
1,1,0.6949501
0,1,0.6753857
0,1,0.7099699
0,0,0.35784054
0,0,0.20408066
0,0,0.28982282
0,0,0.27617264
0,0,0.32879466
1,0,0.49544108
0,1,0.52692497
0,0,0.20408066
0,1,0.56616604
1,0,0.35355526
0,1,0.6949501
0,0,0.20408066
0,0,0.36360452
0,1,0.52210873
0,0,0.21470279
0,0,0.4167895
1,1,0.7279292
1,1,0.62558985
0,0,0.20408066
0,0,0.20408066
0,0,0.32879466
1,0,0.27617264
0,1,0.52210873
0,0,0.35784054
0,0,0.43266815
0,0,0.35784054
0,0,0.20408066
0,0,0.35784054
0,0,0.3594279
0,0,0.4645394
1,0,0.35355526
0,1,0.52210873
1,1,0.52692497
0,0,0.20408066
0,0,0.27617264
0,0,0.21139269
0,0,0.2788337
0,0,0.20408066
1,1,0.58145267
1,1,0.6045433
0,1,0.52692497
0,0,0.4170576
0,0,0.3594279
0,0,0.21470279
0,1,0.6782032
0,0,0.43266815
0,0,0.3594279
0,0,0.35590047
0,0,0.20408066
0,0,0.35470784
0,0,0.35784054
1,1,0.6782032
0,0,0.42793414
1,1,0.6585014
1,1,0.6009692
0,1,0.62558985
0,0,0.35784054
0,0,0.27617264
0,1,0.6465849
0,1,0.6465849
0,1,0.6465849
1,1,0.52692497
0,0,0.20408066
0,0,0.32879466
0,0,0.32879466
0,0,0.20408066
0,0,0.20408066
0,1,0.52210873
0,0,0.20408066
0,1,0.64944124
0,1,0.61550456
0,1,0.62558985
0,0,0.28193167
0,0,0.27617264
0,0,0.20408066
0,0,0.36360452
0,0,0.35784054
0,0,0.43266815
0,0,0.3146141
1,1,0.6585014
0,0,0.35590047
0,0,0.35784054
1,0,0.21139269
0,1,0.62558985
0,1,0.58830035
1,1,0.6802374
0,1,0.56616604
0,1,0.62558985
1,0,0.20408066
0,0,0.27617264
0,0,0.32879466
0,0,0.21139269
0,1,0.52692497
0,1,0.6045433
0,0,0.35784054
0,1,0.56616604
0,0,0.3146141
0,0,0.3594279
0,0,0.35784054
0,0,0.35590047
0,0,0.35120133
0,0,0.22228912
0,0,0.20408066
0,0,0.35784054
1,0,0.35470784
0,0,0.20408066
1,1,0.62558985
0,0,0.35784054
0,0,0.43336838
0,1,0.52692497
0,1,0.62558985
0,0,0.35784054
1,0,0.27617264
0,0,0.28611267
0,1,0.5743872
0,0,0.20408066
0,0,0.3594279
0,0,0.36360452
1,1,0.6565867
0,0,0.20408066
0,1,0.62558985
1,1,0.52210873
0,1,0.52692497
0,1,0.52692497
0,0,0.20408066
0,1,0.52692497
0,0,0.20408066
0,0,0.35784054
0,0,0.21470279
0,0,0.22228912
0,0,0.20408066
0,0,0.20408066
0,1,0.52210873
0,1,0.52692497
0,1,0.62558985
0,0,0.35784054
0,0,0.4170576
0,1,0.52692497
0,0,0.37265155
0,1,0.6334141
0,1,0.52692497
0,0,0.43266815
0,1,0.62558985
0,0,0.36360452
0,0,0.3594279
0,1,0.56616604
0,1,0.62558985
0,0,0.35784054
0,1,0.56616604
0,0,0.3594279
0,1,0.52692497
0,1,0.52210873
0,0,0.20408066
0,0,0.35784054
1,1,0.6585014
0,0,0.20408066
0,0,0.3594279
0,0,0.35784054
1,1,0.6585014
0,0,0.42793414
0,0,0.27617264
0,0,0.20408066
0,1,0.62558985
0,1,0.6334141
0,1,0.6045433
0,0,0.35470784
1,0,0.28611267
0,0,0.21470279
0,0,0.41471624
0,1,0.62558985
0,0,0.20408066
0,1,0.62558985
0,0,0.32879466
0,0,0.20408066
0,1,0.62558985
0,0,0.21470279
0,1,0.56616604
1,1,0.69902855
0,0,0.35355526
0,1,0.52692497
0,0,0.27617264
0,0,0.35784054
0,1,0.52692497
0,0,0.35784054
0,0,0.35590047
0,1,0.6465849
0,1,0.52210873
0,0,0.35784054
0,0,0.20408066
1,0,0.27677813
0,0,0.27617264
0,0,0.35784054
0,0,0.35784054
0,0,0.20408066
0,1,0.52210873
0,1,0.52692497
1,1,0.62558985
0,0,0.27617264
0,0,0.20408066
0,0,0.35784054
0,1,0.56616604
0,1,0.62558985
0,1,0.61550456
1,1,0.69902855
0,1,0.62558985
0,0,0.35784054
1,1,0.56616604
0,0,0.20408066
1,1,0.62558985
1,1,0.64463955
0,0,0.28611267
0,1,0.62558985
1,1,0.6585014
0,0,0.43336838
0,1,0.5743872
0,0,0.42793414
0,0,0.38879758
0,0,0.27617264
0,0,0.35355526
1,1,0.7059773
0,1,0.64463955
0,0,0.35784054
0,0,0.35590047
0,1,0.6585014
0,1,0.56616604
1,1,0.62558985
0,1,0.52692497
0,1,0.6465849
0,0,0.27617264
0,0,0.22228912
0,0,0.20408066
0,0,0.28298688
0,1,0.62558985
1,1,0.6782032
0,0,0.3594279
0,0,0.27617264
1,1,0.6045433
0,0,0.3594279
0,0,0.35470784
1,1,0.7099699
1,1,0.6585014
0,1,0.59991735
0,1,0.52692497
1,0,0.45973924
0,0,0.27617264
0,1,0.6585014
0,0,0.27617264
1,1,0.6585014
0,1,0.56616604
0,1,0.52692497
0,1,0.52692497
0,1,0.56616604
0,0,0.20408066
0,0,0.27617264
0,1,0.52692497
1,1,0.6585014
0,1,0.52692497
0,0,0.35784054
0,0,0.2778215
0,1,0.62558985
0,1,0.52692497
0,0,0.20408066
0,0,0.20408066
1,1,0.6753857
0,0,0.3541819
0,1,0.52210873
1,1,0.52692497
0,0,0.20408066
1,1,0.52210873
0,0,0.27617264
1,1,0.7099699
0,1,0.52692497
0,0,0.35590047
0,1,0.62558985
0,0,0.35784054
0,0,0.42793414
0,1,0.62558985
1,1,0.6585014
0,0,0.20408066
0,0,0.4170576
0,1,0.56616604
0,0,0.27617264
0,1,0.6334141
1,1,0.62558985
0,0,0.20408066
0,1,0.58145267
0,0,0.42793414
1,1,0.52692497
0,0,0.35784054
1,1,0.7059773
1,0,0.3594279
0,1,0.52210873
0,1,0.62558985
0,1,0.6465849
0,1,0.6753857
0,1,0.7099699
0,1,0.52692497
0,0,0.35784054
1,1,0.66041654
1,1,0.52692497
0,1,0.52692497
1,1,0.52692497
0,0,0.27617264
0,0,0.35784054
0,1,0.6585014
0,0,0.20408066
0,0,0.42793414
0,0,0.20408066
0,0,0.36360452
1,1,0.62558985
0,0,0.35590047
1,1,0.52210873
0,0,0.27617264
0,0,0.27617264
1,1,0.52692497
0,0,0.43266815
0,1,0.56616604
1,1,0.62558985
0,0,0.49544108
0,0,0.36360452
0,0,0.28982282
0,0,0.20408066
0,0,0.36360452
0,0,0.45973924
0,0,0.35784054
0,0,0.20408066
0,0,0.35784054
0,1,0.52692497
1,1,0.68686557
0,0,0.20408066
0,0,0.20408066
0,0,0.20408066
0,1,0.62558985
1,1,0.52692497
0,0,0.35784054
0,0,0.35784054
0,1,0.52692497
0,1,0.52210873
0,0,0.28193167
0,0,0.27617264
0,0,0.27617264
0,0,0.42793414
0,0,0.42793414
0,0,0.20408066
0,0,0.42793414
0,0,0.21139269
0,1,0.56616604
0,0,0.20408066
1,1,0.6009692
0,0,0.35784054
0,0,0.20408066
0,0,0.27617264
0,0,0.20408066
0,0,0.27617264
0,0,0.43266815
1,0,0.3594279
0,1,0.62558985
0,1,0.52210873
1,1,0.62558985
0,0,0.20408066
1,1,0.71346414
1,0,0.43266815
0,0,0.28611267
0,0,0.42793414
0,0,0.35784054
0,0,0.27617264
0,1,0.6334141
0,1,0.7099699
0,0,0.28982282
0,0,0.20408066
0,0,0.20408066
0,1,0.52692497
0,0,0.35784054
0,1,0.52210873
0,0,0.3594279
1,1,0.62558985
1,1,0.6585014
0,0,0.35784054
0,0,0.35784054
0,0,0.20408066
0,0,0.21139269
0,0,0.21139269
0,1,0.6666262
0,0,0.35784054
0,0,0.20408066
0,1,0.6465849
1,0,0.27617264
0,0,0.4170576
0,1,0.52692497
0,0,0.35784054
0,0,0.20408066
1,1,0.6045433
0,0,0.20408066
0,0,0.35590047
0,0,0.20408066
0,1,0.6465849
1,0,0.35355526
1,1,0.52692497
0,0,0.4170576
0,0,0.35784054
0,0,0.36360452
0,0,0.20408066
0,1,0.62558985
1,1,0.7059773
0,0,0.35784054
1,1,0.6585014
0,1,0.6009692
1,1,0.52692497
0,0,0.27617264
0,0,0.21139269
0,0,0.27617264
0,0,0.35784054
0,0,0.20408066
1,1,0.6666262
0,0,0.42793414
1,1,0.7059773
1,1,0.6565867
0,1,0.62558985
0,0,0.3541819
0,0,0.20408066
0,1,0.52692497
0,0,0.28611267
0,0,0.3146141
0,0,0.42793414
0,0,0.35784054
0,1,0.52692497
0,0,0.20408066
1,1,0.7099699
0,0,0.20408066
0,0,0.27617264
0,0,0.4170576
0,0,0.35784054
0,0,0.21470279
0,1,0.62558985
0,1,0.69759834
0,0,0.32879466
0,0,0.28982282
0,0,0.20408066
0,1,0.6045433
1,1,0.52692497
0,0,0.20408066
0,0,0.28298688
0,1,0.52692497
0,1,0.62558985
1,1,0.7173957
0,0,0.35784054
0,1,0.59991735
0,0,0.28193167
0,0,0.20408066
0,0,0.20408066
0,1,0.61550456
1,0,0.4170576
0,0,0.4170576
0,1,0.56616604
0,0,0.20408066
1,0,0.20408066
1,1,0.7279292
0,1,0.7099699
0,0,0.27617264
0,0,0.20408066
0,0,0.43266815
0,1,0.62558985
1,1,0.6045433
0,1,0.5921761
0,1,0.6585014
0,0,0.42793414
1,1,0.62558985
1,0,0.43266815
0,1,0.6190526
0,0,0.35784054
0,1,0.6465849
0,1,0.52692497
0,0,0.27617264
0,1,0.6465849
0,1,0.52210873
0,1,0.6009692
0,1,0.56616604
0,1,0.56616604
1,1,0.7173957
0,1,0.52692497
1,1,0.52210873
0,0,0.43336838
0,0,0.43336838
0,1,0.6465849
0,0,0.36360452
1,1,0.59991735
0,0,0.27617264
1,1,0.6009692
0,0,0.20408066
0,0,0.4645394
0,0,0.20408066
0,1,0.52210873
0,1,0.52692497
0,0,0.27617264
0,1,0.56616604
0,0,0.2809126
1,1,0.52210873
0,1,0.52210873
0,0,0.21470279
0,0,0.43336838
1,1,0.62558985
0,0,0.28298688
0,0,0.27617264
0,0,0.35784054
0,0,0.35784054
0,0,0.21470279
0,0,0.20408066
0,0,0.42793414
0,0,0.35784054
0,0,0.42793414
0,1,0.52692497
0,0,0.27617264
1,0,0.4645394
0,0,0.28298688
1,1,0.7099699
0,0,0.20408066
0,1,0.6753857
0,0,0.42793414
1,1,0.6949501
0,0,0.35355526
0,0,0.35590047
0,0,0.36360452
0,0,0.35784054
0,0,0.35784054
0,0,0.27617264
0,0,0.20408066
0,0,0.41471624
0,0,0.35784054
0,0,0.20408066
1,1,0.6465849
0,1,0.56616604
0,1,0.56616604
0,0,0.20408066
0,1,0.58830035
0,1,0.52210873
1,1,0.66473395
0,1,0.52210873
0,0,0.42793414
0,0,0.20408066
0,0,0.35784054
1,1,0.6666262
1,1,0.52692497
0,0,0.27617264
0,0,0.42793414
0,1,0.71346414
0,1,0.52692497
1,0,0.27617264
0,1,0.52692497
0,0,0.35784054
0,0,0.36360452
0,0,0.20408066
0,0,0.36360452
0,0,0.21470279
0,0,0.42793414
0,0,0.42793414
1,1,0.5921761
0,0,0.35120133
0,1,0.6045433
1,1,0.6465849
1,1,0.52692497
0,0,0.42793414
1,1,0.62558985
0,0,0.21470279
0,1,0.62558985
0,1,0.7099699
0,0,0.32879466
0,0,0.21470279
1,1,0.62558985
0,0,0.4170576
1,1,0.7279292
1,0,0.35784054
1,1,0.52692497
0,0,0.3594279
0,1,0.64020336
0,1,0.6045433
0,0,0.27617264
0,0,0.27617264
0,0,0.36360452
0,0,0.20408066
1,1,0.7099699
0,0,0.2814665
0,0,0.20408066
0,0,0.35784054
0,1,0.52210873
1,1,0.52210873
0,1,0.6045433
1,1,0.62558985
0,0,0.20408066
0,0,0.20408066
1,1,0.6666262
0,0,0.35784054
1,1,0.6334141
0,0,0.35784054
0,0,0.20408066
0,0,0.35590047
0,1,0.56616604
1,1,0.52210873
0,0,0.27617264
0,1,0.6585014
0,0,0.35784054
0,1,0.5921761
0,1,0.7099699
0,1,0.61550456
0,1,0.52692497
0,0,0.20408066
1,1,0.62558985
0,0,0.27617264
0,1,0.56616604
0,1,0.56616604
0,0,0.35590047
0,0,0.27617264
0,0,0.20408066
0,0,0.27617264
0,0,0.27617264
0,1,0.69902855
0,0,0.20408066
0,1,0.52692497
0,0,0.27617264
0,0,0.20408066
0,0,0.36360452
0,0,0.28611267
0,0,0.27617264
0,1,0.6465849
1,1,0.6796052
0,0,0.27617264
0,1,0.52210873
0,0,0.20408066
1,1,0.6644057
0,0,0.27617264
0,1,0.52210873
0,0,0.35590047
0,1,0.62558985
0,0,0.42793414
0,1,0.62558985
0,0,0.3594279
0,0,0.35784054
0,0,0.42793414
0,1,0.52692497
1,0,0.35770178
0,1,0.52692497
0,1,0.52692497
0,0,0.22228912
0,1,0.6334141
0,0,0.27617264
0,0,0.42793414
0,1,0.62558985
0,0,0.36360452
1,1,0.6782032
0,0,0.20408066
0,1,0.62627006
0,0,0.43266815
1,1,0.6585014
0,0,0.35470784
0,1,0.6796052
0,0,0.35784054
0,0,0.49274743
0,0,0.20408066
0,1,0.52210873
1,1,0.52692497
0,0,0.27617264
1,0,0.35784054
1,1,0.71346414
0,0,0.20408066
0,1,0.7059773
0,1,0.6009692
0,0,0.35784054
0,0,0.36360452
0,0,0.22228912
0,0,0.36360452
1,1,0.52210873
1,1,0.62558985
1,0,0.36360452
1,1,0.6009692
0,1,0.52692497
0,1,0.52692497
1,1,0.52692497
0,1,0.6465849
0,0,0.21139269
0,1,0.52210873
1,1,0.62558985
1,1,0.52210873
1,1,0.58830035
0,1,0.52692497
1,1,0.6334141
0,0,0.43266815
1,1,0.64463955
1,1,0.7099699
1,1,0.5921761
0,1,0.62558985
0,1,0.58830035
0,0,0.35784054
0,0,0.32879466
0,0,0.35784054
0,1,0.52692497
0,1,0.6009692
0,0,0.3594279
0,1,0.62558985
0,1,0.62558985
0,0,0.27617264
0,0,0.2809126
1,1,0.62359613
1,1,0.56616604
0,0,0.35470784
0,0,0.20408066
0,1,0.7099699
0,0,0.27617264
0,0,0.27617264
0,0,0.27617264
0,0,0.33131263
0,0,0.35784054
0,1,0.56616604
1,1,0.6045433
1,0,0.35784054
0,0,0.43336838
0,1,0.6009692
0,0,0.4170576
0,0,0.28298688
0,1,0.6009692
0,0,0.35784054
0,0,0.32879466
0,0,0.28193167
1,1,0.66473395
0,0,0.3594279
0,1,0.52692497
1,1,0.69902855
0,0,0.20408066
0,0,0.35784054
0,1,0.52692497
1,0,0.28193167
0,1,0.52692497
0,0,0.35784054
0,1,0.56616604
0,1,0.60025233
0,0,0.43266815
0,0,0.22228912
0,0,0.3594279
0,1,0.62558985
0,0,0.21139269
0,1,0.52692497
0,0,0.28982282
0,0,0.21139269
0,0,0.27617264
0,0,0.21139269
0,1,0.69902855
0,0,0.35886037
1,1,0.7099699
1,0,0.4170576
1,1,0.6009692
1,1,0.7279292
0,0,0.27617264
0,1,0.6753857
0,0,0.35470784
0,1,0.62558985
1,0,0.42793414
0,1,0.52210873
0,1,0.56616604
0,0,0.27617264
0,0,0.33131263
0,0,0.21139269
0,0,0.27617264
0,1,0.6666262
0,0,0.28298688
1,1,0.6009692
0,1,0.6009692
0,0,0.3594279
0,1,0.6465849
0,1,0.69902855
0,0,0.36814806
0,1,0.52692497
1,1,0.5861449
0,0,0.43266815
0,1,0.62558985
0,0,0.20408066
0,1,0.62558985
0,0,0.20408066
1,1,0.52692497
0,1,0.52692497
0,1,0.56616604
0,0,0.35886037
0,1,0.52692497
0,0,0.21470279
0,1,0.6949501
0,0,0.21139269
0,0,0.20408066
0,0,0.49544108
0,1,0.6565867
0,1,0.56616604
0,1,0.52692497
0,0,0.27617264
0,0,0.27617264
0,0,0.28611267
0,0,0.2778215
0,1,0.6009692
0,0,0.42793414
0,1,0.64463955
0,0,0.28298688
0,0,0.35784054
0,0,0.27617264
0,1,0.7099699
0,0,0.22228912
0,1,0.58830035
1,1,0.62558985
0,1,0.52210873
0,0,0.35784054
0,0,0.35590047
0,1,0.6045433
0,1,0.62558985
0,0,0.2788337
0,1,0.52210873
1,1,0.69902855
0,0,0.4170576
1,1,0.6138884
1,1,0.6753857
0,0,0.35886037
1,0,0.35355526
0,1,0.6334141
0,0,0.3600591
0,0,0.38879758
0,0,0.35784054
0,0,0.27617264
0,1,0.56616604
0,0,0.35784054
0,0,0.27617264
0,0,0.3600591
1,0,0.27617264
0,0,0.37265155
1,0,0.28193167
0,0,0.35784054
0,1,0.62558985
0,1,0.52692497
0,0,0.3594279
0,0,0.20408066
0,0,0.20408066
0,1,0.52210873
0,0,0.35784054
0,0,0.35784054
0,0,0.27617264
0,1,0.52210873
1,1,0.52692497
0,0,0.3594279
0,0,0.33131263
0,0,0.27617264
0,1,0.56616604
0,0,0.20408066
0,0,0.35784054
1,1,0.52692497
0,0,0.43266815
0,0,0.20408066
0,1,0.56616604
0,0,0.43266815
0,0,0.20408066
0,1,0.56616604
0,1,0.52210873
0,0,0.35784054
0,1,0.6465849
0,1,0.52210873
1,1,0.7099699
0,0,0.2804148
0,0,0.3594279
0,0,0.20408066
0,1,0.52210873
0,0,0.20408066
0,0,0.27617264
0,0,0.35784054
1,1,0.6565867
0,0,0.20408066
0,1,0.6465849
0,1,0.6753857
0,1,0.56616604
0,1,0.56616604
0,0,0.28611267
0,0,0.49274743
0,1,0.56616604
0,0,0.27617264
0,1,0.71346414
0,1,0.56616604
0,0,0.35784054
0,0,0.27617264
0,1,0.52692497
0,0,0.20408066
0,0,0.43336838
0,0,0.35784054
0,0,0.35590047
0,1,0.52692497
0,1,0.58830035
0,0,0.22228912
0,0,0.3594279
1,1,0.6009692
0,1,0.56616604
1,1,0.52210873
1,1,0.6585014
1,1,0.7099699
0,0,0.20408066
0,1,0.54352635
0,1,0.52210873
0,0,0.42793414
0,0,0.20408066
0,0,0.20408066
0,0,0.35784054
0,0,0.28611267
0,1,0.6465849
0,1,0.6585014
0,0,0.20408066
0,0,0.20408066
0,1,0.52692497
0,0,0.27617264
1,1,0.6045433
0,0,0.20408066
1,1,0.6666262
1,0,0.3594279
0,0,0.20408066
1,1,0.6009692
1,1,0.62627006
0,0,0.20408066
0,0,0.21139269
0,1,0.52210873
1,1,0.56616604
0,0,0.35784054
0,1,0.52210873
0,1,0.62359613
0,1,0.52210873
0,0,0.27617264
0,1,0.58830035
0,1,0.65221924
0,0,0.41471624
1,1,0.52692497
0,1,0.6565867
0,1,0.62558985
0,1,0.7099699
0,1,0.62558985
0,0,0.27617264
1,1,0.7173957
0,1,0.59991735
1,1,0.52210873
0,0,0.3600591
1,1,0.7279292
0,0,0.35784054
1,0,0.35590047
1,1,0.62558985
0,0,0.20408066
0,1,0.52692497
0,0,0.35784054
0,1,0.66041654
0,0,0.42793414
0,0,0.35590047
1,1,0.6565867
0,0,0.35886037
0,1,0.6465849
0,0,0.42793414
0,0,0.35784054
0,1,0.71254164
0,1,0.62558985
0,1,0.6465849
1,0,0.4170576
0,0,0.37265155
0,0,0.20408066
0,0,0.27617264
0,1,0.62558985
0,0,0.20408066
1,1,0.62558985
0,0,0.20408066
0,0,0.36360452
0,0,0.35470784
0,0,0.20408066
1,1,0.6465849
0,1,0.62558985
1,0,0.36360452
0,1,0.52210873
1,1,0.6585014
0,1,0.6585014
0,1,0.62558985
0,0,0.42793414
0,0,0.27617264
0,0,0.27617264
0,0,0.27617264
0,1,0.62558985
0,0,0.3741266
0,1,0.6009692
1,0,0.49544108
0,1,0.62558985
0,0,0.35784054
1,1,0.72408783
1,1,0.52692497
0,0,0.35120133
0,1,0.6585014
0,1,0.52692497
0,0,0.21139269
0,0,0.27617264
0,0,0.20408066
0,1,0.52692497
1,0,0.35784054
0,0,0.20408066
0,0,0.27617264
0,0,0.20408066
1,1,0.6753857
0,0,0.27617264
0,0,0.20408066
0,1,0.6045433
1,1,0.62558985
1,1,0.6585014
0,0,0.20408066
1,1,0.6585014
0,0,0.27617264
0,1,0.52210873
1,0,0.36360452
0,1,0.69902855
1,1,0.6045433
1,1,0.52692497
0,0,0.4170576
0,0,0.36360452
0,0,0.20408066
0,0,0.28611267
0,0,0.20408066
0,0,0.20408066
0,0,0.20408066
0,0,0.20408066
0,0,0.21139269
0,0,0.3594279
0,0,0.27617264
0,0,0.27617264
0,1,0.52692497
0,0,0.42793414
0,0,0.28611267
0,0,0.20408066
0,1,0.62558985
1,0,0.43336838
0,0,0.36360452
0,0,0.35784054
0,0,0.20408066
0,0,0.27617264
0,1,0.56616604
0,0,0.35784054
0,1,0.6340054
1,1,0.6565867
0,1,0.64463955
1,1,0.69902855
0,0,0.42793414
1,0,0.35470784
1,1,0.56616604
1,1,0.62558985
0,0,0.21139269
0,0,0.20408066
0,1,0.52692497
0,1,0.64463955
0,0,0.35784054
0,0,0.35784054
0,0,0.4170576
0,1,0.52692497
0,0,0.21470279
0,1,0.52692497
0,1,0.6796052
0,1,0.69902855
0,1,0.52210873
0,0,0.27617264
0,0,0.42793414
1,1,0.52692497
0,1,0.6585014
0,0,0.35784054
0,0,0.21139269
0,0,0.32879466
1,1,0.62558985
0,0,0.27677813
0,0,0.42793414
0,1,0.56616604
0,0,0.27617264
0,0,0.20408066
0,0,0.42793414
0,0,0.3594279
0,0,0.35784054
0,0,0.28611267
0,0,0.20408066
0,1,0.52692497
0,0,0.43336838
0,1,0.6782032
0,0,0.42793414
0,0,0.36360452
0,0,0.43266815
0,0,0.3594279
0,1,0.56616604
1,1,0.52692497
0,0,0.27617264
0,0,0.35784054
0,0,0.20408066
0,0,0.35784054
0,0,0.35784054
1,1,0.6009692
0,0,0.35784054
0,0,0.3594279
0,0,0.21139269
0,0,0.35784054
0,0,0.20408066
0,0,0.27617264
0,0,0.20408066
0,0,0.27617264
0,1,0.62558985
1,1,0.6190526
1,1,0.52692497
0,0,0.3594279
0,0,0.27617264
0,0,0.3594279
1,1,0.52210873
0,1,0.52210873
0,0,0.43266815
0,0,0.35784054
0,0,0.4170576
0,0,0.20408066
0,1,0.6782032
0,1,0.6334141
0,0,0.35784054
1,1,0.52210873
0,1,0.64463955
0,0,0.20408066
0,1,0.56616604
0,0,0.35470784
0,1,0.52692497
0,1,0.56616604
0,1,0.62558985
0,0,0.20408066
1,1,0.62558985
0,0,0.35784054
0,1,0.62558985
0,0,0.27617264
0,0,0.20408066
0,0,0.27617264
0,1,0.6045433
0,0,0.28982282
1,0,0.3594279
0,1,0.6334141
0,1,0.52692497
0,0,0.35784054
0,0,0.20408066
1,1,0.7099699
0,0,0.35784054
0,0,0.35784054
0,0,0.35784054
0,0,0.36360452
0,0,0.35784054
0,0,0.27617264
0,1,0.56616604
0,0,0.3594279
0,0,0.27617264
0,1,0.6465849
0,0,0.3600591
0,0,0.35784054
0,1,0.62558985
0,0,0.33131263
0,1,0.62558985
0,1,0.7099699
0,1,0.52210873
0,1,0.52692497
0,0,0.27617264
0,1,0.7099699
1,1,0.7173957
0,0,0.35784054
0,0,0.35590047
0,0,0.34887034
0,0,0.20408066
1,1,0.6763447
0,0,0.27617264
0,0,0.35120133
0,0,0.36360452
0,0,0.35886037
0,0,0.36360452
0,1,0.69902855
0,1,0.56616604
1,0,0.35770178
0,0,0.28611267
1,1,0.52692497
0,0,0.35590047
0,0,0.35784054
0,0,0.21470279
1,1,0.60965145
0,0,0.35784054
1,0,0.37265155
1,0,0.43266815
1,1,0.6585014
0,0,0.36360452
0,0,0.20408066
0,1,0.6782032
0,1,0.56616604
0,0,0.20408066
0,1,0.62558985
0,1,0.7173957
0,0,0.42793414
0,0,0.20408066
0,0,0.34539062
1,1,0.62558985
0,0,0.20408066
0,1,0.52692497
0,1,0.64463955
0,0,0.20408066
0,0,0.42793414
0,1,0.6585014
0,0,0.20408066
1,1,0.52692497
0,0,0.43266815
0,0,0.20408066
1,1,0.66473395
1,1,0.52692497
0,0,0.43266815
0,0,0.20408066
0,0,0.43266815
1,1,0.58830035
0,0,0.35784054
0,0,0.27617264
0,1,0.66041654
0,0,0.49274743
0,0,0.27617264
0,0,0.2809126
0,1,0.52692497
0,0,0.20408066
0,0,0.35784054
0,1,0.6666262
0,1,0.6585014
0,1,0.6045433
0,1,0.6565867
0,1,0.52210873
1,1,0.6009692
1,1,0.7099699
0,0,0.35784054
0,1,0.52210873
0,1,0.52210873
0,1,0.56616604
0,0,0.27617264
0,0,0.20408066
0,0,0.35784054
0,0,0.20408066
0,0,0.20408066
0,0,0.35784054
0,1,0.56616604
0,0,0.36360452
0,1,0.6666262
0,0,0.27617264
1,1,0.62558985
0,0,0.20408066
0,0,0.20408066
0,1,0.69902855
1,1,0.6585014
0,0,0.20408066
0,0,0.27617264
1,1,0.64463955
0,0,0.43266815
0,0,0.35784054
0,1,0.52692497
0,0,0.35784054
0,0,0.35784054
0,0,0.20408066
0,1,0.52210873
1,0,0.49544108
0,1,0.62558985
1,1,0.52692497
0,1,0.647503
0,0,0.36360452
0,0,0.20408066
0,0,0.28611267
1,1,0.6585014
0,1,0.58830035
0,1,0.6465849
0,1,0.6465849
0,0,0.42793414
0,1,0.52692497
0,0,0.4170576
0,0,0.3594279
0,0,0.20408066
1,1,0.62558985
0,1,0.52692497
0,0,0.20408066
1,1,0.59991735
0,0,0.20408066
0,1,0.6585014
0,1,0.52692497
0,1,0.6585014
1,1,0.62558985
0,0,0.35784054
